adress,name,category,Comments,peripheral
0x40002020,,,,TIM14
0x40002024,,,,TIM14
0x40002028,,,,TIM14
0x4000202c,,,,TIM14
0x40002034,,,,TIM14
0x40001000,14.4.1TIM1 and TIM8 control register 1 (TIMx_CR1)   ,CR,,TIM6
0x40001004,TIM1 and TIM8 control register 2 (TIMx_CR2)   ,CR,,TIM6
0x4000100c,14.4.4TIM1 and TIM8 DMA/interrupt enable register (TIMx_DIER)   ,CR,,TIM6
0x40001010,TIM1 and TIM8 status register (TIMx_SR)   ,SR,,TIM6
0x40001014,14.4.5TIM1 and TIM8 event generation register (TIMx_EGR) ,CR,,TIM6
0x40001024,14.4.10 TIM1 and TIM8 counter (TIMx_CNT) ,DR,,TIM6
0x40001028,14.4.11 TIM1 and TIM8 prescaler (TIMx_PSC)  ,CR,,TIM6
0x4000102c,14.4.12 TIM1 and TIM8 auto-reload register (TIMx_ARR)  ,CR,,TIM6
0x40001400,14.4.1TIM1 and TIM8 control register 1 (TIMx_CR1)   ,CR,,TIM7
0x40001404,TIM1 and TIM8 control register 2 (TIMx_CR2)   ,CR,,TIM7
0x4000140c,14.4.4TIM1 and TIM8 DMA/interrupt enable register (TIMx_DIER)   ,CR,,TIM7
0x40001410,TIM1 and TIM8 status register (TIMx_SR)   ,SR,,TIM7
0x40001414,14.4.5TIM1 and TIM8 event generation register (TIMx_EGR) ,CR,,TIM7
0x40001424,14.4.10 TIM1 and TIM8 counter (TIMx_CNT) ,DR,,TIM7
0x40001428,14.4.11 TIM1 and TIM8 prescaler (TIMx_PSC)  ,CR,,TIM7
0x4000142c,14.4.12 TIM1 and TIM8 auto-reload register (TIMx_ARR)  ,CR,,TIM7
0x40005400,27I2C Control register 1 (I2C_CR1) ,CR,,I2C1
0x40005404,26.6.1I2C Control register 2 (I2C_CR2) ,CR,,I2C1
0x40005408,26.6.2I2C Own address register 1 (I2C_OAR1) ,CR,,I2C1
0x4000540c,26.6.3I2C Own address register 2 (I2C_OAR2) ,CR,,I2C1
0x40005410,26.6.4I2C Data register (I2C_DR)  ,DR,,I2C1
0x40005414,26.6.5I2C Status register 1 (I2C_SR1)   ,SR,,I2C1
0x40005418,26.6.6I2C Status register 2 (I2C_SR2)   ,SR,,I2C1
0x4000541c,26.6.7I2C Clock control register (I2C_CCR)   ,CR,,I2C1
0x40005420,26.6.8I2C TRISE register (I2C_TRISE)  ,CR,,I2C1
0x40005800,27I2C Control register 1 (I2C_CR1) ,CR,,I2C2
0x40005804,26.6.1I2C Control register 2 (I2C_CR2) ,CR,,I2C2
0x40005808,26.6.2I2C Own address register 1 (I2C_OAR1) ,CR,,I2C2
0x4000580c,26.6.3I2C Own address register 2 (I2C_OAR2) ,CR,,I2C2
0x40005810,26.6.4I2C Data register (I2C_DR)  ,DR,,I2C2
0x40005814,26.6.5I2C Status register 1 (I2C_SR1)   ,SR,,I2C2
0x40005818,26.6.6I2C Status register 2 (I2C_SR2)   ,SR,,I2C2
0x4000581c,26.6.7I2C Clock control register (I2C_CCR)   ,CR,,I2C2
0x40005820,26.6.8I2C TRISE register (I2C_TRISE)  ,CR,,I2C2
0x40013000,SPI control register 1 (SPI_CR1) (not used in I2S mode)  ,CR,,SPI1
0x40013004,SPI control register 2 (SPI_CR2) ,CR,,SPI1
0x40013008,SPI status register (SPI_SR)  ,SR,,SPI1
0x4001300c,SPI data register (SPI_DR)  ,DR,,SPI1
0x40013010,SPI CRC polynomial register (SPI_CRCPR) (not used in I2Smode) ,CR,,SPI1
0x40013014,SPI RX CRC register (SPI_RXCRCR) (not used in I2S mode)  ,DR,,SPI1
0x40013018,25.5.6SPI TX CRC register (SPI_TXCRCR) (not used in I2S mode)   ,DR,,SPI1
0x4001301c,25.5.7SPI_I2S configuration register (SPI_I2SCFGR) ,CR,,SPI1
0x40013020,25.5.8SPI_I2S prescaler register (SPI_I2SPR)  ,CR,,SPI1
0x40003800,SPI control register 1 (SPI_CR1) (not used in I2S mode)  ,CR,,SPI2
0x40003804,SPI control register 2 (SPI_CR2) ,CR,,SPI2
0x40003808,SPI status register (SPI_SR)  ,SR,,SPI2
0x4000380c,SPI data register (SPI_DR)  ,DR,,SPI2
0x40003810,SPI CRC polynomial register (SPI_CRCPR) (not used in I2Smode) ,CR,,SPI2
0x40003814,SPI RX CRC register (SPI_RXCRCR) (not used in I2S mode)  ,DR,,SPI2
0x40003818,25.5.6SPI TX CRC register (SPI_TXCRCR) (not used in I2S mode)   ,DR,,SPI2
0x4000381c,25.5.7SPI_I2S configuration register (SPI_I2SCFGR) ,CR,,SPI2
0x40003820,25.5.8SPI_I2S prescaler register (SPI_I2SPR)  ,CR,,SPI2
0x40003c00,SPI control register 1 (SPI_CR1) (not used in I2S mode)  ,CR,,SPI3
0x40003c04,SPI control register 2 (SPI_CR2) ,CR,,SPI3
0x40003c08,SPI status register (SPI_SR)  ,SR,,SPI3
0x40003c0c,SPI data register (SPI_DR)  ,DR,,SPI3
0x40003c10,SPI CRC polynomial register (SPI_CRCPR) (not used in I2Smode) ,CR,,SPI3
0x40003c14,SPI RX CRC register (SPI_RXCRCR) (not used in I2S mode)  ,DR,,SPI3
0x40003c18,25.5.6SPI TX CRC register (SPI_TXCRCR) (not used in I2S mode)   ,DR,,SPI3
0x40003c1c,25.5.7SPI_I2S configuration register (SPI_I2SCFGR) ,CR,,SPI3
0x40003c20,25.5.8SPI_I2S prescaler register (SPI_I2SPR)  ,CR,,SPI3
0x40013800,Status register (USART_SR)  ,SR,,USART1
0x40013804,Data register (USART_DR)  ,DR,,USART1
0x40013808,Baud rate register (USART_BRR)  ,CR,,USART1
0x4001380c,Control register 1 (USART_CR1) ,CR,,USART1
0x40013810,ContentsControl register 2 (USART_CR2) ,CR,,USART1
0x40013814,27.6.6Control register 3 (USART_CR3) ,CR,,USART1
0x40013818,27.6.7 Guard time and prescaler register (USART_GTPR)  ,CR,,USART1
0x40004400,Status register (USART_SR)  ,SR,,USART2
0x40004404,Data register (USART_DR)  ,DR,,USART2
0x40004408,Baud rate register (USART_BRR)  ,CR,,USART2
0x4000440c,Control register 1 (USART_CR1) ,CR,,USART2
0x40004410,ContentsControl register 2 (USART_CR2) ,CR,,USART2
0x40004414,27.6.6Control register 3 (USART_CR3) ,CR,,USART2
0x40004418,27.6.7 Guard time and prescaler register (USART_GTPR)  ,CR,,USART2
0x40004800,Status register (USART_SR)  ,SR,,USART3
0x40004804,Data register (USART_DR)  ,DR,,USART3
0x40004808,Baud rate register (USART_BRR)  ,CR,,USART3
0x4000480c,Control register 1 (USART_CR1) ,CR,,USART3
0x40004810,ContentsControl register 2 (USART_CR2) ,CR,,USART3
0x40004814,27.6.6Control register 3 (USART_CR3) ,CR,,USART3
0x40004818,27.6.7 Guard time and prescaler register (USART_GTPR)  ,CR,,USART3
0x40012400,Contents11.12.1 ADC status register (ADC_SR)  ,SR,,ADC1
0x40012404,11.12.2 ADC control register 1 (ADC_CR1)  ,CR,,ADC1
0x40012408,11.12.3 ADC control register 2 (ADC_CR2)  ,CR,,ADC1
0x4001240c,11.12.4 ADC sample time register 1 (ADC_SMPR1)  ,CR,,ADC1
0x40012410,11.12.5 ADC sample time register 2 (ADC_SMPR2)  ,CR,,ADC1
0x40012414,ADC injected channel data offset register x (ADC_JOFRx),CR,,ADC1
0x40012418,ADC injected channel data offset register x (ADC_JOFRx),CR,,ADC1
0x4001241c,ADC injected channel data offset register x (ADC_JOFRx),CR,,ADC1
0x40012420,ADC injected channel data offset register x (ADC_JOFRx),CR,,ADC1
0x40012424,ADC watchdog high threshold register (ADC_HTR),CR,,ADC1
0x40012428,11.12.8 ADC watchdog low threshold register (ADC_LTR)   ,CR,,ADC1
0x4001242c,11.12.9 ADC regular sequence register 1 (ADC_SQR1)  ,CR,,ADC1
0x40012430,11.12.10 ADC regular sequence register 2 (ADC_SQR2)  ,CR,,ADC1
0x40012434,11.12.11 ADC regular sequence register 3 (ADC_SQR3)  ,CR,,ADC1
0x40012438,11.12.12 ADC injected sequence register (ADC_JSQR)  ,CR,,ADC1
0x4001243c,ADC injected data register 1 (ADC_JDR1),DR,,ADC1
0x40012440,ADC injected data register 2 (ADC_JDR2),DR,,ADC1
0x40012444,ADC injected data register 3 (ADC_JDR3),DR,,ADC1
0x40012448,ADC injected data register 4 (ADC_JDR4),DR,,ADC1
0x4001244c,11.12.14 ADC regular data register (ADC_DR)  ,DR,,ADC1
0x40012800,Contents11.12.1 ADC status register (ADC_SR)  ,SR,,ADC2
0x40012804,11.12.2 ADC control register 1 (ADC_CR1)  ,CR,,ADC2
0x40012808,11.12.3 ADC control register 2 (ADC_CR2)  ,CR,,ADC2
0x4001280c,11.12.4 ADC sample time register 1 (ADC_SMPR1)  ,CR,,ADC2
0x40012810,11.12.5 ADC sample time register 2 (ADC_SMPR2)  ,CR,,ADC2
0x40012814,ADC injected channel data offset register x (ADC_JOFRx),CR,,ADC2
0x40012818,ADC injected channel data offset register x (ADC_JOFRx),CR,,ADC2
0x4001281c,ADC injected channel data offset register x (ADC_JOFRx),CR,,ADC2
0x40012820,ADC injected channel data offset register x (ADC_JOFRx),CR,,ADC2
0x40012824,11.12.6 ADC injected channel data offset register x (ADC_JOFRx) (x=1..4)  . . 24411.12.7 ADC watchdog high threshold register (ADC_HTR)  ,CR,,ADC2
0x40012828,11.12.8 ADC watchdog low threshold register (ADC_LTR)   ,CR,,ADC2
0x4001282c,11.12.9 ADC regular sequence register 1 (ADC_SQR1)  ,CR,,ADC2
0x40012830,11.12.10 ADC regular sequence register 2 (ADC_SQR2)  ,CR,,ADC2
0x40012834,11.12.11 ADC regular sequence register 3 (ADC_SQR3)  ,CR,,ADC2
0x40012838,11.12.12 ADC injected sequence register (ADC_JSQR)  ,CR,,ADC2
0x4001283c,ADC injected data register 1 (ADC_JDR1),DR,,ADC2
0x40012840,ADC injected data register 2 (ADC_JDR2),DR,,ADC2
0x40012844,ADC injected data register 3 (ADC_JDR3),DR,,ADC2
0x40012848,ADC injected data register 4 (ADC_JDR4),DR,,ADC2
0x4001284c,11.12.14 ADC regular data register (ADC_DR)  ,DR,,ADC2
0x40013c00,Contents11.12.1 ADC status register (ADC_SR)  ,SR,,ADC3
0x40013c04,11.12.2 ADC control register 1 (ADC_CR1)  ,CR,,ADC3
0x40013c08,11.12.3 ADC control register 2 (ADC_CR2)  ,CR,,ADC3
0x40013c0c,11.12.4 ADC sample time register 1 (ADC_SMPR1)  ,CR,,ADC3
0x40013c10,11.12.5 ADC sample time register 2 (ADC_SMPR2)  ,CR,,ADC3
0x40013c14,,,,ADC3
0x40013c18,,,,ADC3
0x40013c1c,,,,ADC3
0x40013c20,,,,ADC3
0x40013c24,11.12.6 ADC injected channel data offset register x (ADC_JOFRx) (x=1..4)  . . 24411.12.7 ADC watchdog high threshold register (ADC_HTR)  ,CR,,ADC3
0x40013c28,11.12.8 ADC watchdog low threshold register (ADC_LTR)   ,CR,,ADC3
0x40013c2c,11.12.9 ADC regular sequence register 1 (ADC_SQR1)  ,CR,,ADC3
0x40013c30,11.12.10 ADC regular sequence register 2 (ADC_SQR2)  ,CR,,ADC3
0x40013c34,11.12.11 ADC regular sequence register 3 (ADC_SQR3)  ,CR,,ADC3
0x40013c38,11.12.12 ADC injected sequence register (ADC_JSQR)  ,CR,,ADC3
0x40013c3c,,,,ADC3
0x40013c40,,,,ADC3
0x40013c44,,,,ADC3
0x40013c48,,,,ADC3
0x40013c4c,11.12.14 ADC regular data register (ADC_DR)  ,DR,,ADC3
0x40006400,,,,CAN
0x40006404,,,,CAN
0x40006408,,,,CAN
0x4000640c,,,,CAN
0x40006410,,,,CAN
0x40006414,,,,CAN
0x40006418,,,,CAN
0x4000641c,,,,CAN
0x40006580,,,,CAN
0x40006584,,,,CAN
0x40006588,,,,CAN
0x4000658c,,,,CAN
0x40006590,,,,CAN
0x40006594,,,,CAN
0x40006598,,,,CAN
0x4000659c,,,,CAN
0x400065a0,,,,CAN
0x400065a4,,,,CAN
0x400065a8,,,,CAN
0x400065ac,,,,CAN
0x400065b0,,,,CAN
0x400065b4,,,,CAN
0x400065b8,,,,CAN
0x400065bc,,,,CAN
0x400065c0,,,,CAN
0x400065c4,,,,CAN
0x400065c8,,,,CAN
0x400065cc,,,,CAN
0x40006600,,,,CAN
0x40006604,,,,CAN
0x4000660c,,,,CAN
0x40006614,,,,CAN
0x4000661c,,,,CAN
0x40006640,,,,CAN
0x40006644,,,,CAN
0x40006648,,,,CAN
0x4000664c,,,,CAN
0x40006650,,,,CAN
0x40006654,,,,CAN
0x40006658,,,,CAN
0x4000665c,,,,CAN
0x40006660,,,,CAN
0x40006664,,,,CAN
0x40006668,,,,CAN
0x4000666c,,,,CAN
0x40006670,,,,CAN
0x40006674,,,,CAN
0x40006678,,,,CAN
0x4000667c,,,,CAN
0x40006680,,,,CAN
0x40006684,,,,CAN
0x40006688,,,,CAN
0x4000668c,,,,CAN
0x40006690,,,,CAN
0x40006694,,,,CAN
0x40006698,,,,CAN
0x4000669c,,,,CAN
0x400066a0,,,,CAN
0x400066a4,,,,CAN
0x400066a8,,,,CAN
0x400066ac,,,,CAN
0x40007400,DAC control register (DAC_CR) ,CR,,DAC
0x40007404,DAC software trigger register (DAC_SWTRIGR)  ,CR,,DAC
0x40007408,DAC channel1 12-bit right-aligned data holding register(DAC_DHR12R1) ,DR,,DAC
0x4000740c,DAC channel1 12-bit left aligned data holding register(DAC_DHR12L1)  ,DR,,DAC
0x40007410,DAC channel1 8-bit right aligned data holding register(DAC_DHR8R1) ,DR,,DAC
0x40007414,DAC channel2 12-bit right aligned data holding register(DAC_DHR12R2) ,DR,,DAC
0x40007418,DAC channel2 12-bit left aligned data holding register(DAC_DHR12L2)  ,DR,,DAC
0x4000741c,DAC channel2 8-bit right-aligned data holding register(DAC_DHR8R2) ,DR,,DAC
0x40007420,Dual DAC 12-bit right-aligned data holding register(DAC_DHR12RD)   ,DR,,DAC
0x40007424,12.5.10 DUAL DAC 12-bit left aligned data holding register(DAC_DHR12LD) ,DR,,DAC
0x40007428,12.5.11 DUAL DAC 8-bit right aligned data holding register(DAC_DHR8RD)   ,DR,,DAC
0x4000742c,12.5.12 DAC channel1 data output register (DAC_DOR1)  ,DR,,DAC
0x40007430,12.5.13 DAC channel2 data output register (DAC_DOR2)  ,DR,,DAC
0xe0042000,,,,DBG
0xe0042004,,,,DBG
0x40004c00,,,,UART4
0x40004c04,,,,UART4
0x40004c08,,,,UART4
0x40004c0c,,,,UART4
0x40004c10,,,,UART4
0x40004c14,,,,UART4
0x40005000,,,,UART5
0x40005004,,,,UART5
0x40005008,,,,UART5
0x4000500c,,,,UART5
0x40005010,,,,UART5
0x40005014,,,,UART5
0x40023000,4.4Data register (CRC_DR)  ,DR,,CRC
0x40023004,4.4.2Independent data register (CRC_IDR)   ,DR,,CRC
0x40023008,Control register (CRC_CR)  ,CR,,CRC
0x40022000,FLASH_ACR,CR,hybrid enables prefetch and shows the status of prefetch mode (read only bit),FLASH
0x40022004,FPEC key register (FLASH_KEYR),cr,,FLASH
0x40022008,Flash OPTKEY register (FLASH_OPTKEYR),CR,,FLASH
0x4002200c,Flash status register (FLASH_SR),SR,,FLASH
0x40022010,Flash control register (FLASH_CR),CR,,FLASH
0x40022014,Flash address register (FLASH_AR),CR,,FLASH
0x4002201c,Option byte register (FLASH_OBR),CR,,FLASH
0x40022020,,,,FLASH
0xe000e004,,,,NVIC
0xe000ef00,,,,NVIC
0xe000e100,,,,NVIC
0xe000e104,,,,NVIC
0xe000e180,,,,NVIC
0xe000e184,,,,NVIC
0xe000e200,,,,NVIC
0xe000e204,,,,NVIC
0xe000e280,,,,NVIC
0xe000e284,,,,NVIC
0xe000e300,,,,NVIC
0xe000e304,,,,NVIC
0xe000e400,,,,NVIC
0xe000e404,,,,NVIC
0xe000e408,,,,NVIC
0xe000e40c,,,,NVIC
0xe000e410,,,,NVIC
0xe000e414,,,,NVIC
0xe000e418,,,,NVIC
0xe000e41c,,,,NVIC
0xe000e420,,,,NVIC
0xe000e424,,,,NVIC
0xe000e428,,,,NVIC
0xe000e42c,,,,NVIC
0xe000e430,,,,NVIC
0xe000e434,,,,NVIC
0xe000e438,,,,NVIC
0x40005c00,,,,USB
0x40005c04,,,,USB
0x40005c08,,,,USB
0x40005c0c,,,,USB
0x40005c10,,,,USB
0x40005c14,,,,USB
0x40005c18,,,,USB
0x40005c1c,,,,USB
0x40005c40,,,,USB
0x40005c44,,,,USB
0x40005c48,,,,USB
0x40005c4c,,,,USB
0x40005c50,,,,USB
